居酒屋,23.724137931034484
カフェ,10.344827586206897
バー,8.551724137931034
焼鳥,6.620689655172414
ラーメン,5.931034482758621
ダイニングバー,4.551724137931035
定食・食堂,4.551724137931035
その他,4.413793103448276
イタリアン,4.275862068965517
魚介料理・海鮮料理,4.137931034482759
喫茶店,3.724137931034482
焼肉,3.724137931034482
中華料理,3.0344827586206895
寿司,2.896551724137931
割烹・小料理,2.896551724137931
餃子,2.896551724137931
カフェ・喫茶（その他）,2.7586206896551726
ワインバー,2.6206896551724137
鳥料理,2.6206896551724137
コーヒー専門店,2.344827586206897
そば,2.206896551724138
和食（その他）,2.206896551724138
バル・バール,2.206896551724138
カレーライス,2.0689655172413794
うどん,1.9310344827586208
バー・お酒（その他）,1.9310344827586208
ケーキ,1.9310344827586208
パスタ,1.9310344827586208
つけ麺,1.7931034482758619
パン,1.7931034482758619
ホルモン,1.6551724137931034
韓国料理,1.6551724137931034
立ち飲み居酒屋・バー,1.6551724137931034
インドカレー,1.5172413793103448
ビストロ,1.5172413793103448
洋食,1.5172413793103448
居酒屋・ダイニングバー（その他）,1.5172413793103448
ビアバー,1.5172413793103448
串揚げ・串かつ,1.3793103448275863
焼きとん,1.3793103448275863
日本酒バー,1.2413793103448276
焼酎バー,1.2413793103448276
鉄板焼き,1.2413793103448276
ステーキ,1.103448275862069
沖縄料理,1.103448275862069
アジア・エスニック料理（その他）,1.103448275862069
弁当,1.103448275862069
もつ鍋,0.9655172413793104
創作料理,0.9655172413793104
ピザ,0.9655172413793104
お好み焼き,0.9655172413793104
カレー（その他）,0.9655172413793104
自然食,0.8275862068965517
和菓子,0.8275862068965517
天ぷら,0.8275862068965517
郷土料理（その他）,0.8275862068965517
鍋（その他）,0.8275862068965517
インド料理,0.8275862068965517
パブ,0.6896551724137931
デリカテッセン,0.6896551724137931
ハンバーガー,0.6896551724137931
ベトナム料理,0.6896551724137931
おでん,0.6896551724137931
とんかつ,0.6896551724137931
サンドイッチ,0.6896551724137931
ハンバーグ,0.6896551724137931
串焼き,0.6896551724137931
たこ焼き,0.6896551724137931
フレンチ,0.6896551724137931
天丼・天重,0.5517241379310345
西洋各国料理（その他）,0.5517241379310345
アイスクリーム,0.5517241379310345
中華麺（その他）,0.5517241379310345
うなぎ,0.5517241379310345
オムライス,0.5517241379310345
スイーツ（その他）,0.5517241379310345
タイ料理,0.5517241379310345
洋菓子（その他）,0.5517241379310345
カレーうどん,0.5517241379310345
洋食・欧風料理（その他）,0.41379310344827586
スポーツバー,0.41379310344827586
無国籍料理,0.41379310344827586
スペイン料理,0.41379310344827586
炭火焼き,0.41379310344827586
牛丼,0.41379310344827586
レストラン（その他）,0.41379310344827586
コロッケ・フライ,0.41379310344827586
懐石・会席料理,0.41379310344827586
ネパール料理,0.41379310344827586
たい焼き・大判焼き,0.41379310344827586
ジンギスカン,0.27586206896551724
天ぷら・揚げ物（その他）,0.27586206896551724
アメリカ料理,0.27586206896551724
もんじゃ焼き,0.27586206896551724
バイキング,0.27586206896551724
メキシコ料理,0.27586206896551724
立ち食いそば,0.27586206896551724
パフェ,0.27586206896551724
ソフトクリーム,0.27586206896551724
台湾まぜそば,0.27586206896551724
パン・サンドイッチ（その他）,0.27586206896551724
回転寿司,0.27586206896551724
丼もの（その他）,0.27586206896551724
バームクーヘン,0.27586206896551724
からあげ,0.27586206896551724
ちゃんこ鍋,0.27586206896551724
豆腐料理・湯葉料理,0.27586206896551724
クレープ,0.27586206896551724
ファミレス,0.27586206896551724
甘味処,0.27586206896551724
しゃぶしゃぶ,0.27586206896551724
その他肉料理,0.27586206896551724
旅館・オーベルジュ（その他）,0.13793103448275862
おにぎり,0.13793103448275862
四川料理,0.13793103448275862
精進料理,0.13793103448275862
中国鍋・火鍋,0.13793103448275862
豚料理,0.13793103448275862
お好み焼き・たこ焼き（その他）,0.13793103448275862
もつ焼き,0.13793103448275862
スリランカ料理,0.13793103448275862
西アジア料理（その他）,0.13793103448275862
京料理,0.13793103448275862
台湾料理,0.13793103448275862
汁なし担々麺,0.13793103448275862
中華菓子,0.13793103448275862
バーベキュー,0.13793103448275862
飲茶・点心,0.13793103448275862
肉まん・中華まん,0.13793103448275862
海鮮丼,0.13793103448275862
担々麺,0.13793103448275862
ビアホール・ビアレストラン,0.13793103448275862
トルコ料理,0.13793103448275862
フルーツパーラー,0.13793103448275862
紅茶専門店,0.13793103448275862
かつ丼・かつ重,0.13793103448275862
日本茶専門店,0.13793103448275862
油そば,0.13793103448275862
ちゃんぽん,0.13793103448275862
東南アジア料理（その他）,0.13793103448275862
ベーグル,0.13793103448275862
牛料理,0.13793103448275862
牛タン,0.13793103448275862
インドネシア料理,0.13793103448275862
ふぐ,0.13793103448275862
ドーナツ,0.13793103448275862
北京料理,0.13793103448275862
豚丼,0.13793103448275862
スープカレー,0.13793103448275862
冷麺,0.13793103448275862
